Company Name,Exchange:Ticker,Ticker,Company Type,Primary Exchange,Secondary Listings,Geographic Locations,Market Cap USDmm Latest,Security Tickers,Primary Sector,Industry Classifications,Headquarters Country/Region,CIK,Equity Currency
"J.B. Hunt Transport Services, Inc.",NasdaqGS:JBHT,JBHT,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),23924.6,NasdaqGS:JBHT; WBAG:JBHT; BMV:JBHT *; BOVESPA:J1BH34; DB:JB1; LSE:0J71,Industrials,Cargo Ground Transportation (Primary); Ground Transportation (Primary); Industrials (Primary); Road Transportation of Freight (Primary); Transportation (Primary); Air Freight and Logistics; Air Freight and Logistics,United States,0000728535,US Dollar
CMS Energy Corporation,NYSE:CMS,CMS,Public Company,New York Stock Exchange (NYSE),"NYSE:CMS.PRC
Company: CMS Energy Corporation
(IQT718074655) - New York Stock Exchange (NYSE)",United States of America (Primary),23598.7,NYSE:CMS; NYSE:CMS.PRC; BMV:CMS1 *; BOVESPA:C1MS34; DB:CSG; DB:CSG0; LSE:0HR4,Utilities,Multi-Utilities (Primary); Multi-Utilities (Primary); Utilities (Primary); Utilities (Primary); Alternative Energy Resources; Electric Power By Wind Energy; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Generation By Nuclear Fuels; Electric Utilities; Electric Utilities; Gas Utilities; Gas Utilities; Independent Power and Renewable Electricity Producers; Independent Power Producers and Energy Traders; Natural Gas Transmission; Oil and Gas Distribution; Renewable Electricity,United States,0000811156,US Dollar
"Fidelity National Information Services, Inc.",NYSE:FIS,FIS,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),23528.8,NYSE:FIS; WBAG:FNIS; BIT:1FIS; BMV:FIS *; BOVESPA:F1NI34; DB:ZGY; LSE:0ILW,Financials,Financial Services (Primary); Financial Services (Primary); Financials (Primary); Transaction and Payment Processing Services (Primary); Application Software; Commercial and Professional Services; Data Processing and Outsourced Services; Data Processing and Outsourced Services for Banking Industry; Data Processing and Outsourced Services for Investment and Capital Markets; Enterprise Software; Financial Services Software; Industrials; Industry Specific Software; Information Technology; Professional Services; Software; Software and Services,United States,0001136893; 0001291080,US Dollar
"SoFi Technologies, Inc.",NasdaqGS:SOFI,SOFI,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),23362.8,NasdaqGS:SOFI; BIT:1SOFI; BMV:SOFI *; DB:6B0,Financials,Consumer Digital Lending (Primary); Consumer Finance (Primary); Consumer Finance (Primary); Financial Services (Primary); Financials (Primary); Personal Credit Agencies (Primary); Application Software; Application Software for Banking Industry; Application Software for Investment and Capital Markets; Asset Management and Custody Banks; Banks; Banks; Benefit and Payroll Management Software; Capital Markets; Diversified Banks; Enterprise Resource Planning (ERP) Software; Enterprise Software; Financial Services Software; Human Resources Software; Industry Specific Software; Information Technology; Software; Software and Services,United States,0001606846; 0001818874; 0001532099,US Dollar
Fair Isaac Corporation,NYSE:FICO,FICO,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),23242.0,NYSE:FICO; BIT:1FICO; BMV:FICO1 *; BOVESPA:F2IC34; DB:FRI; LSE:0TIQ,Information Technology,Application Hosting Services (Primary); Application Service Providers (ASPs) (Primary); Application Software (Primary); Enterprise Software (Primary); Financial Services Software (Primary); Industry Specific Software (Primary); Information Technology (Primary); Software (Primary); Software and Services (Primary); Business-to-Business (B2B); Communication Services; Interactive Media and Services; Interactive Media and Services; Media and Entertainment; Online Services,United States,0000814547,US Dollar
"Verisk Analytics, Inc.",NasdaqGS:VRSK,VRSK,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),23205.4,NasdaqGS:VRSK; WBAG:VRSK; BIT:1VRSK; BMV:VRSK *; BOVESPA:V1RS34; DB:VA7A; LSE:0LP3,Industrials,"Commercial and Professional Services (Primary); Industrials (Primary); Professional Services (Primary); Research and Consulting Services (Primary); Commercial Services and Supplies; Electronic Equipment, Instruments and Components; General Management Services; Information Technology; Information Technology (IT) Consulting; IT Consulting and Other Services; IT Services; Office Services and Supplies; Risk Management Services; Software and Services; Software Distribution; Technology Distributors; Technology Hardware and Equipment",United States,0001442145,US Dollar
"Darden Restaurants, Inc.",NYSE:DRI,DRI,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),23175.0,NYSE:DRI; BIT:1DRI; BOVESPA:D1RI34; DB:DDN; LSE:0I77,Consumer Discretionary,"Consumer Discretionary (Primary); Consumer Services (Primary); Full Service Restaurants (Primary); Hotels, Restaurants and Leisure (Primary); Restaurants (Primary); Financial Services; Financial Services; Financials; Investment Services and Holding Companies; Multi-Sector Holdings; Patent Owners and Lessors",United States,0000940944,US Dollar
Expand Energy Corporation,NasdaqGS:EXE,EXE,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),23150.4,NasdaqGS:EXE; XTRA:CS1; NasdaqGS:EXEE.L; BIT:1EXE; BMV:EXE *; DB:CS1; NasdaqCM:EXEE.W; NasdaqCM:EXEE.Z,Energy,"Energy (Primary); Energy (Primary); Oil and Gas Exploration and Production (Primary); Oil and Gas Production (Primary); Oil, Gas and Consumable Fuels (Primary)",United States,0000895126,US Dollar
NiSource Inc.,NYSE:NI,NI,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),23148.2,NYSE:NI; BIT:1NIS; BOVESPA:N1IS34; DB:NOU; LSE:0K87,Utilities,Multi-Utilities (Primary); Multi-Utilities (Primary); Utilities (Primary); Utilities (Primary); Electric Power By Solar Energy; Electric Power By Wind Energy; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Utilities; Electric Utilities; Gas Utilities; Gas Utilities; Hydroelectric Power Generation; Independent Power and Renewable Electricity Producers; Natural Gas Transmission; Oil and Gas Distribution; Renewable Electricity,United States,0001111711; 0000823392,US Dollar
Lennar Corporation,NYSE:LEN,LEN,Public Company,New York Stock Exchange (NYSE),"NYSE:LEN.B
Company: Lennar Corporation
(IQT5059144) - New York Stock Exchange (NYSE)",United States of America (Primary),23133.0,NYSE:LEN; NYSE:LEN.B; BIT:1LEN; BMV:LEN *; BOVESPA:L1EN34; DB:LNN; DB:LNN0; LSE:0JU0,Consumer Discretionary,"Consumer Discretionary (Primary); Consumer Durables and Apparel (Primary); Homebuilding (Primary); Household Durables (Primary); Multi-family Residential Buildings (Primary); Residential Construction, General Contractors and Operative Builders (Primary); Single-Family Houses (Primary); Asset Management and Custody Banks; Capital Markets; Commercial and Residential Mortgage Finance; Commercial Property Insurance; Financial Services; Financial Services; Financials; Insurance; Insurance; Land Sub Dividers And Developers; Land Sub Dividers and Developers, except Cemetery; Mortgage Bankers and Loan Correspondents; Mortgage Services; Personal Property Insurance; Property; Property and Casualty Insurance; Real Estate; Real Estate Development; Real Estate Management and Development; Real Estate Management and Development; Real Estate Management Services; Real Estate Operating Companies; Title Insurance",United States,0000058696; 0000920760,US Dollar
Loews Corporation,NYSE:L,L,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),23132.4,NYSE:L; BIT:1LOE; BMV:L *; BOVESPA:L1OE34; DB:LTR; LSE:0JVI,Financials,"Casualty (Primary); Commercial Property Insurance (Primary); Financials (Primary); Fire and Marine Insurance (Primary); Insurance (Primary); Insurance (Primary); Liability Insurance (Primary); Property (Primary); Property and Casualty Insurance (Primary); Surety Insurance (Primary); Worker's Compensation Insurance (Primary); Chemicals; Commodity Chemicals; Consumer Discretionary; Consumer Services; Containers and Packaging; Energy; Energy; Health and Medical Insurance; Hotels; Hotels And Motels; Hotels, Resorts and Cruise Lines; Hotels, Restaurants and Leisure; Life and Health Insurance; Lodging; Materials; Materials; Metal, Glass and Plastic Containers; Natural Gas Pipelines; Oil and Gas Storage and Transportation; Oil, Gas and Consumable Fuels; Plastic and Synthetic Resins; Plastic Packaging; Resins",United States,0000060086,US Dollar
"Everpure, Inc.",NYSE:P,P,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),23125.7,NYSE:P; BIT:1PSTG; BMV:P *; BOVESPA:P2ST34; BRSE:P; DB:6PU; LSE:0KSA,Information Technology,"Data Storage (Primary); Information Technology (Primary); Technology Hardware and Equipment (Primary); Technology Hardware, Storage and Peripherals (Primary); Technology Hardware, Storage and Peripherals (Primary); Application Hosting Services; Application Service Providers (ASPs); Application Software; Data Management; Data Recovery; Data Storage Services; Disaster Recovery; Information Technology (IT) Consulting; Infrastructure Consulting; Infrastructure Services; Internet Services and Infrastructure; IT Consulting and Other Services; IT Services; Remote Data Backup; Software; Software and Services",United States,0001474432,US Dollar
"AST SpaceMobile, Inc.",NasdaqGS:ASTS,ASTS,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),23045.2,NasdaqGS:ASTS; SET:ASTS03; BASE:ASTS; BASE:ASTSD; BIT:1ASTS; BMV:ASTS *; DB:3ZU0,Communication Services,Alternative Carriers (Primary); Communication Services (Primary); Diversified Telecommunication Services (Primary); Satellite Communication Services (Primary); Telecommunication Services (Primary); Cellular Services; Wireless Telecommunication Services; Wireless Telecommunication Services,United States,0001780312; 0001746128,US Dollar
